CNS,Situação,Nome,UF,Município,Endereço,Bairro,CEP,Column
687,Ativo,"SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS, ACUMULANDO, PRECARIAMENTE, O SERVIÇO DE REGISTRO DE TITULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURIDICAS",PR,SAO JOSE DOS PINHAIS,RUA DR MOTTA JUNIOR 1309,CENTRO,83005170,
703,Ativo,SERVIÇO NOTARIAL E REGISTRAL DE LUÍS GOMES,RN,LUIS GOMES,CEL. ANTONIO FERNANDES SOBRINHO,CENTRO,59940000,
711,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE CATINGUEIRA,PB,CATINGUEIRA,RUA: FIRMINO AYRES ALBANO COSTA Nº 45,CENTRO,58715000,
760,Ativo,1º TABELIONATO DE NOTAS E 1º OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E POSTOS AVANÇADOS DA COMARCA DE RIO BRANCO,AC,RIO BRANCO,"AVENIDA CEARÁ, Nº 2513",DOM GIOCONDO,69900300,
794,Ativo,3º TABELIONATO DE NOTAS E 3º OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE RIO BRANCO,AC,RIO BRANCO,AVENIDA CEARÁ,JARDIM NAZLE,69918048,
802,Inativo,4ª SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA RIO BRANCO,AC,RIO BRANCO,"RUA DO AVIÁRIO, Nº 284",AVIÁRIO,69907190,
828,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE CRUZEIRO DO SUL,AC,CRUZEIRO DO SUL,"AV. RODRIGUES ALVES, Nº 60",CENTRO,69980000,
836,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE EPITACIOLÂNDIA,AC,EPITACIOLANDIA,"BR 317, KM 01, 645",AEROPORTO,69934000,
844,Ativo,TABELIONATO DE NOTAS E OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE MARECHAL THAUMATURGO,AC,MARECHAL THAUMATURGO,RUA LUIZ MARTINS N: 298 E,CENTRO,69983000,
893,Inativo,5ª SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE RIO BRANCO,AC,RIO BRANCO,"AV. GETÚLIO VARGAS, 811",CENTRO,69908150,
901,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE XAPURI,AC,XAPURI,"RUA JOÃO BARBOSA, 53",CENTRO,69930000,
919,Ativo,CARTÓRIO PORTO WALTER,AC,PORTO WALTER,RUA MAMED CAMELI,CENTRO,69982000,
943,Inativo,2º TABELIONATO DE NOTAS E 2º OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE RIO BRANCO,AC,RIO BRANCO,"RUA BOULEVARD AUGUSTO MONTEIRO,810",QUINZE,69900901,
984,Ativo,TABELIONATO DE NOTAS E OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE SANTA ROSA DO PURUS,AC,SANTA ROSA DO PURUS,"RUA CORONEL JOSÉ FERREIRA, 1173",CIDADE NOVA,69955000,
992,Ativo,TABELIONATO DE NOTAS E OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE JORDÃO,AC,JORDAO,"RUA ROMILDO MAGALHÃES, S/N",CENTRO,69975000,
1008,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE SENADOR GUIOMARD,AC,SENADOR GUIOMARD,RUA 03 DE MAIO,CENTRO,69900925,
1016,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE TARAUACÁ,AC,TARAUACA,"RUA EPAMINONDAS JÁCOME, 930",CENTRO,69970000,
1024,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE ASSIS BRASIL,AC,ASSIS BRASIL,RUA DOM GIOCOND MARIA GROTTI,CENTRO,69935000,
1032,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE BUJARI,AC,BUJARI,"RUA JOSÉ PEREIRA GURGEL, 462",CENTRO,69926000,
1040,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE MÂNCIO LIMA,AC,MANCIO LIMA,"RUA JOAQUIM GENEROSO DE OLIVEIRA, 160",CENTRO,69990000,
1057,Ativo,SERVENTIA EXTRAJUDICIAL DA COMARCA DE MANOEL URBANO,AC,MANOEL URBANO,"RUA MENDES ARAÚJO, 1267",SÃO JOSÉ,69950000,
1065,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE PLÁCIDO DE CASTRO,AC,PLACIDO DE CASTRO,AV. DIAMANTINO AUGUSTO DE MACEDO,CENTRO,69928000,
1073,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE ACRELÂNDIA,AC,ACRELÂNDIA,"RUA 7 QUEDAS, S/N",CENTRO,69945000,
1081,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE BRASILÉIA-AC,AC,BRASILÉIA,"AVENIDA PREFEITO ROLANDO MOREIRA, 128",CENTRO,69932000,
1099,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE RODRIGUES ALVES,AC,RODRIGUES ALVES,"AVENIDA PRESDIENTE VARGAS, 402",CENTRO,69985000,
1107,Inativo,SERVENTIA EXTRAJUDICIAL DA COMARCA DE SENA MADUREIRA,AC,SENA MADUREIRA,AVENIDA AVELINO CHAVES S/N,CENTRO,69940000,
1115,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE CAPIXABA,AC,CAPIXABA,"RUA FRANCISCO CORDEIRO DE ANDRADE,S/N",CENTRO,69922000,
1131,Inativo,SERVENTIA EXTRAJUDICIAL DA COMARCA DE SENA MADUREIRA,AC,SENA MADUREIRA,AVENIDA AVELINO CHAVES S/N,CENTRO,69940000,
1446,Ativo,SERVENTIAS EXTRAJUDICIAIS DA COMARCA DE FEIJÓ,AC,FEIJO,"AV. PLACIDO DE CASTRO,551",CENTRO,69960000,
1453,Inativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE PORTO ACRE,AC,PORTO ACRE,"RUA ALFREDO GAMA, 120",LIVRAMENTO,69921000,
1552,Ativo,CARTÓRIO JURUÁ,AC,CRUZEIRO DO SUL,"AV. RODRIGUES ALVES, Nº 60",CENTRO,69980000,
1883,Ativo,REGISTRO CIVIL E NOTAS DE ÁGUA BRANCA,AL,ÁGUA BRANCA,"RUA BARÃO DE ÁGUA BRANCA, 42",CENTRO,57490000,
2022,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DE PIAÇABUÇU,AL,PIACABUCU,"RUA SENADOR FRANCISCO SILVA,117",CENTRO,57210000,
2121,Ativo,CARTÓRIO DE REG.CIVIL DE PESSOAS NATURAIS DE DELMIRO GOUVEIA-POVOADO LAGOINHA,AL,DELMIRO GOUVEIA,POVOADO LAGOINHA - DELMIRO GOUVEIA,POVOADO LAGOINHA,57480000,
2139,Ativo,CARTORIO DE REGISTRO CIVIL,AL,CACIMBINHAS,"RUA OSCAR JUVÊNCIO DE AMORIM, 69",CENTRO,57570000,
2147,Ativo,CARTÓRIO DE REGISTRO CIVIL,AL,OLIVENCA,"RUA CORONEL BELARMINO VIEIRA DE OLIVEIRA, Nº 84",CENTRO,57550000,
2154,Ativo,CARTÓRIO DE REGISTRO CIVIL,AL,MAJOR ISIDORO,"RUA DRA. LÍVIA PEDROSA MOREIRA ALVES, S/N",JOSÉ AUGUSTO VANDERLEY,57500000,
2162,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,MESSIAS,"RUA ELIAS LINS CALHEIROS, 12",CENTRO,57990000,
2170,Ativo,CARTÓRIO DE REGISTRO CIVIL,AL,TANQUE D'ARCA,"PRAÇA CEL FRANCISCO EUCLIDES DA FONSECA,23",CENTRO,57635000,
2188,Ativo,CARTORIO DE REGISTRO CIVIL DA COMARCA DE PENEDO,AL,PENEDO,"AV. COMENDADOR PEIXOTO, 153",CENTRO,57200000,
2196,Ativo,CARTÓRIO DE REGISTRO CIVIL DA VILA ILHA DO FERRO,AL,PAO DE ACUCAR,RUA MATIAS DE SOUZA FONTES,CENTRO,57400000,
2204,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,COQUEIRO SECO,RUA FRANCISCO CABRAL Nº 68,CENTRO,57140000,
2212,Ativo,CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,PIRANHAS,"RUA ALTO DO GAMELEIRO, S/Nº",CENTRO,57460000,
2220,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS,AL,POCO DAS TRINCHEIRAS,RUA ANTÔNIO SOARES - S/N,CENTRO,57510000,
2238,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS,AL,TEOTONIO VILELA,"RUA MARIA AUGUSTA DA SILVA, S/N, GALERIA AUTO POSTO 101, SALA 12",SEBASTIÃO VILELA,57265000,
2246,Ativo,CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE CALDEIROES DE CIMA,AL,PALMEIRA DOS INDIOS,"RUA MANOEL GOMES, 130",CENTRO,57600240,
2253,Inativo,CARTORIO DE REGISTRO CIVIL DE COLONIA LEOPOLDINA,AL,COLONIA LEOPOLDINA,"RUA 15 DE NOVEMBRO, 44",CENTRO,57975000,
2261,Ativo,CARTÓRIO DE REGISTRO CIVIL DE MARECHAL DEODORO,AL,MARECHAL DEODORO,RUA DR. TAVARES BASTOS 421,CENTRO,57160000,
2279,Ativo,CARTORIO DE REGISTRO CIVIL DE PESSOAS NATURAIS DO 3 DISTRITO,AL,MACEIO,"RUA CONEGO COSTA, 3712",BEBEDOURO,57018095,
2287,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS,AL,PARIPUEIRA,"AV. ANTÔNIO REINALDO, 301",CENTRO,57935000,
2295,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE VIÇOSA - ALAGOAS,AL,VICOSA,"RUA DO CENTENARIO, 06",CENTRO,57700000,
2303,Ativo,"CARTORIO DE REGISTRO CIVIL DE PESSOAS NATURAIS, NASCIMENTO, CASAMENTO E OBITO",AL,ATALAIA,TRAVESSA MANOEL VICENTE,CENTRO,57690000,
2311,Ativo,CARTÓRIO DE REGISTRO CIVIL DE TAQUARANA,AL,TAQUARANA,"AVENIDA SENADOR RUI PALMEIRA, N. 100 A",CENTRO,57640000,
2329,Ativo,CARTORIO DE REGISTRO CIVIL DO 1 DISTRITO DE SAO JOSE DA LAJE-AL,AL,SAO JOSE DA LAJE,"RUA: DR. OSCAR GORDILHO, S/N",CENTRO,57860000,
2337,Ativo,CARTORIO DE REGISTRO CIVIL DO DISTRITO DE TATUAMUNHA,AL,PORTO DE PEDRAS,"RUA TRINDADE, 695",TATUAMUNHA,57945000,
2345,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS,AL,CANAPI,"RUA ELPÍDIO LOU, S/N",CENTRO,57530000,
2352,Ativo,CARTÓRIO DE REGISTRO CIVIL DO 3º DISTRITO,AL,ARAPIRACA,RUA ANTÔNIO JUVINO DA SILVA. 101,CENTRO,57318750,
2360,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS,AL,ARAPIRACA,"RUA 3 DE NOVEMBRO, 94",VILA SÃO FRANCISCO,57319970,
2378,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS,AL,FEIRA GRANDE,RUA ANTONIO BISPO DE OLIVEIRA N° 279,CENTRO,57340000,
2386,Ativo,CARTÓRIO DO REGISTRO CIVIL ESCRIVÃ ZELIA DE LIMA,AL,OLHO D'AGUA DAS FLORES,"RUA DA ASSEMBLEIA, Nº30",CENTRO,57442000,
2394,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS,AL,LIMOEIRO DE ANADIA,"RUA CÔNEGO JACINTO, 64-A",CENTRO,57260000,
2402,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS MARIA FERREIRA NETO,AL,CAMPO GRANDE,"RUA DO COMERCIO, 17",CENTRO,57350000,
2410,Ativo,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS DE QUEBRANGULO-ALAGOAS,AL,QUEBRANGULO,"RUA MAJOR CÍCERO DE GÓES MONTEIRO, 85",CENTRO,57750000,
2428,Ativo,CARTORIO DE REGISTRO DE CIVIL DE JOAQUIM GOMES,AL,JOAQUIM GOMES,"PRAÇA LAURENTINO GOMES DE BARROS, 19",CENTRO,57980000,
2436,Ativo,CARTORIO DE REGISTRO DE PESSOAS NATURAIS E NOTAS DE SANTANA DO MUNDAU,AL,SANTANA DO MUNDAU,"CONJUNTO RESIDENCIAL SANTANA DO MUNDAÚ ,ÁREA 5,QD 19",CENTRO,57840000,
2444,Ativo,CARTÓRIO DE REGSITRO CIVIL,AL,MAJOR ISIDORO,"RUA DO COMÉRCIO, S/N",SÃO MARCOS,57580000,
2519,Ativo,CARTÓRIO DO 2º DISTRITO DO REGISTRO CIVIL,AL,ARAPIRACA,"RUA 15 DE NOVEMBRO, 357",CENTRO,57300340,
2550,Ativo,CARTÓRIO DO 4º DISTRITO DE FLORIANO PEIXOTO,AL,MACEIO,AV GUNTHER FRANS OLIVEIRA,IPIOCA,57039700,
2568,Ativo,CARTÓRIO DO REGISTRO CIVIL,AL,MONTEIROPOLIS,"RUA MANOEL MONTEIRO TORRES, 137",CENTRO,57440000,
2576,Ativo,CARTÓRIO DO REGISTRO CIVIL,AL,POCO DAS TRINCHEIRAS,RUA DO COMÉRCIO,CENTRO,57510000,
2584,Ativo,CARTÓRIO DO REGISTRO CIVIL,AL,TRAIPU,"RUA ISAAC PEREIRA NETO, Nº 27",CENTRO,57370000,
2592,Ativo,CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE PORTO CALVO,AL,PORTO CALVO,RUA PEDRO BULANGÊ   Nº 100,CENTRO,57900000,
2600,Ativo,CARTÓRIO DO REGISTRO CIVIL,AL,CORURIPE,"RUA SÃO JOSÉ, 101",CENTRO,57235000,
2618,Ativo,CARTORIO DO REGISTRO CIVIL,AL,PILAR,"RUA MIGUEL MACEDO, 100",CENTRO,57150000,
2626,Ativo,CARTÓRIO DO REGISTRO CIVIL,AL,FLEXEIRAS,RUA ABELARDO CAVALCANTE LINS S/N,CENTRO,57995000,
2634,Inativo,CARTÓRIO DO REGISTRO CIVIL,AL,SANTA LUZIA DO NORTE,"RUA BENEDITO MASCARENHAS, 27",CENTRO,57130000,
2642,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DE JUNDIÁ,AL,JUNDIA,RUA NOSSA SENHORA DA CONCEIÇÃO,CENTRO,57965000,
2659,Ativo,CARTÓRIO DO REGISTRO CIVIL,AL,BELO MONTE,"TRAVESSA VEREADOR GONÇALVES GÓES, S/N",CENTRO,57435000,
2667,Ativo,CARTÓRIO DO REGISTRO CIVIL - OFICIALIZADO,AL,DELMIRO GOUVEIA,"RUA CASTRO ALVES, 91",CENTRO,57480000,
2675,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS DAS PESSOAS NATURAIS,AL,SENADOR RUI PALMEIRA,AVENIDA DO COMÉRCIO,CENTRO,57515000,
2683,Ativo,CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,MURICI,"AV. JACINTO BARBOSA, Nº23",CENTRO,57820000,
2691,Ativo,CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,MARAVILHA,"AV. VER. MANOEL BARBOSA ALCÂNTARA, 29",CENTRO,57520000,
2709,Ativo,CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE SATUBA,AL,SATUBA,"RUA JONAS JOSÉ DA SILVA, Nº 13, SALA 04",CENTRO,57120000,
2717,Ativo,CARTORIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS,AL,SAO JOSE DA TAPERA,"RUA 24 DE DEZEMBRO, S/N",CENTRO,57445000,
2725,Ativo,CARTORIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS,AL,CARNEIROS,"RUA AGRIPINO DAMASCENO, 46",CENTRO,57535000,
2733,Ativo,CARTÓRIO DO REGISTRO CIVIL DE ARAPIRACA - 1º DISTRITO,AL,ARAPIRACA,"PRAÇA MARQUES DA SILVA, 20",CENTRO,57300330,
2741,Ativo,CARTÓRIO DO REGISTRO CIVIL DE CAMPESTRE,AL,CAMPESTRE,"RUA GETÚLIO VARGAS, 129",CENTRO,57968000,
2758,Ativo,CARTÓRIO DO REGISTRO CIVIL DE GIRAU DO PONCIANO,AL,GIRAU DO PONCIANO,"RUA SÃO JOSÉ, 40",CENTRO,57360000,
2766,Ativo,CARTÓRIO DO REGISTRO CIVIL DE IGREJA NOVA,AL,IGREJA NOVA,"TRAV. MATADOURO, Nº 58",CENTRO,57280000,
2774,Ativo,CARTORIO DO REGISTRO CIVIL DE INHAPI,AL,INHAPI,AV. POMPILIO BRANDÃO ALCANTARA,CENTRO,57545000,
2782,Ativo,CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE JARAMATAIA,AL,JARAMATAIA,"RUA DO COMÉRCIO, 244",CENTRO,57425000,
2790,Ativo,CARTÓRIO DO REGISTRO CIVIL DE MARIBONDO,AL,MARIBONDO,"TRAVESSA SENADOR ARNON DE MELO, Nº 12",CENTRO,57670000,
2808,Ativo,CARTORIO DO REGISTRO CIVIL DE MINADOR DO NEGRAO,AL,MINADOR DO NEGRAO,"RUA ESCRITOR GRACILIANO RAMOS, 510",CENTRO,57615000,
2816,Ativo,CARTORIO DO REGISTRO CIVIL DE NASCIMENTO E OBITOS DO 1 DISTRO DE MACEIO,AL,MACEIO,"RUA DIAS CABRAL, 199",CENTRO,57020250,
2824,Ativo,CARTORIO DO REGISTRO CIVIL DE PESSOAS NATURAIS DE MAR VERMELHO,AL,MAR VERMELHO,"RUA JERONIMO VAZ TENORIO, S/N",CENTRO,57730000,
2832,Ativo,CARTORIO DO REGISTRO CIVIL DE PESSOAS NATURAIS DE UTINGA,AL,RIO LARGO,CONJ.CRUZEIRO DO SUL QD A 15 Nº 24,BRASIL NOVO,57100000,
2840,Ativo,CARTORIO DO REGISTRO CIVIL E NOTAS DO 5º DISTRITO DE MACEIÓ,AL,MACEIO,"RUA 7 DE SETEMBRO, 166",TABULEIRO DO MARTINS,57061140,
2857,Ativo,CARTORIO DO REGISTRO CIVIL DO DISTRITO  DE VILA SÃO JOSÉ,AL,ARAPIRACA,"VILA SAO JOSE, 13",ZONA RURAL,57300970,
2865,Ativo,CARTORIO DO REGISTRO CIVIL DO DISTRITO DE CANAFISTULA DO CIPRIANO,AL,GIRAU DO PONCIANO,"RUA DO COMERCIO, S/N",CANAFISTULA DO CIPRIANO,57360000,
2873,Ativo,CARTORIO DO REGISTRO CIVIL DOS CASAMENTOS E DAS CAUSAS MATRIMONIAIS,AL,MACEIO,"RUA DO IMPERADOR, 233",CENTRO,57020670,
2881,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS,AL,CRAIBAS,"RUA DO COMÉRCIO, 10",CENTRO,57320000,
2899,Ativo,CARTORIO DO REGISTRO CIVIL E NOTAS,AL,CAMPO ALEGRE,"RUA DO COMÉRCIO, Nº 90",CENTRO,57250000,
2907,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DE CAPELINHA,AL,MAJOR ISIDORO,"RUA JOSÉ ROSENDO DA SILVA, 36",CENTRO,57580000,
2915,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DE PORTO DA RUA,AL,SAO MIGUEL DOS MILAGRES,"RUA: ARTHUR MARINHO LEÃO, S/N",PORTO DA RUA,57940000,
2923,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS DO 1º DISTRITO DE FEIRA GRANDE/AL,AL,FEIRA GRANDE,"PRAÇA PREFEITO DOMINGOS APÓSTOLO DE LIRA, N.121",CENTRO,57340000,
2931,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS,AL,PORTO REAL DO COLEGIO,"RUA BARÃO DO RIO BRANCO, 143",CENTRO,57290000,
2949,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS 2º DISTRITO,AL,MACEIO,"AV. COMENDADOR LEÃO, 788",POÇO,57025000,
2956,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DAS PESSOAS NATURAIS,AL,MATRIZ DE CAMARAGIBE,"PRAÇA SENADOR RENAN CALHEIROS, Nº 19",CENTRO,57910000,
2964,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DAS PESSOAS NATURAIS DE SÃO LUIZ DO QUITUNDE,AL,SAO LUIS DO QUITUNDE,"RUA DR. FERNANDO SARMENTO, S/N",CENTRO,57920000,
2972,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS DE ANADIA-ALAGOAS,AL,ANADIA,"RUA DR. SEBASTIAO DA CRUZ CARLOS FONSECA, S/N",CENTRO,57660000,
2980,Ativo,CARTORIO DO REGISTRO CIVIL E NOTAS DE BELEM,AL,BELEM,"RUA DO COMERCIO, 212",CENTRO,57630000,
2998,Ativo,CARTÓRIO DO REGISTRO CIVIL E NOTAS DE BRANQUINHA,AL,BRANQUINHA,"RUA JÚLIO MAIA,182",CENTRO,57830000,
3004,Ativo,CARTORIO DO REGISTRO CIVIL E NOTAS DE CANAFISTULA,AL,PALMEIRA DOS INDIOS,PRAÇA ANTONIO LEITE S/N°,CANAFISTULA,57613000,
3012,Ativo,CARTORIO DO REGISTRO CIVIL E NOTAS DE IBATEGUARA,AL,IBATEGUARA,"RUA DO COMERCIO, 210",CENTRO,57890000,
3020,Ativo,CARTÓRIO DO REGISTRO CIVL E NOTAS,AL,NOVO LINO,"RUA DO COMÉRCIO, 310",CENTRO,57970000,
3046,Ativo,CARTÓRIO DO REGISTRO CIVIL DE PESSOAS NATURAIS DE COLÔNIA PINDORAMA,AL,CORURIPE,"AV. CAMAÇARI, 145",COLÔNIA PINDORAMA,57230000,
3053,Ativo,CARTÓRIO DO SERVIÇO REGISTRAL E NOTARIAL DO 1 DISTRITO,AL,CRAIBAS,"RUA MANOEL ANTÔNIO DE JESUS, 157",CENTRO,57320000,
3061,Ativo,CARTÓRIO DO SERVIÇO REGISTRAL E NOTARIAL DO 2º DISTRITO DE SERRA GRANDE,AL,SAO JOSE DA LAJE,"PRAÇA CORONEL CARLOS LYRA, S/N",CENTRO,57860000,
3186,Ativo,REGISTRO CIVIL E NOTAS DA COMARCA DE MATA GRANDE,AL,MATA GRANDE,"PRAÇA CEL JOSE MALTA DE SA, 87",CENTRO,57540000,
3228,Ativo,CARTÓRIO DO ÚNICO OFICIO DE JAPARATINGA,AL,JAPARATINGA,"RUA JOSÉ VITORIANO DA SILVA,48",CENTRO,57950000,
3319,Ativo,CARTÓRIO REGISTRO CIVIL,AL,PAO DE ACUCAR,"RUA PROF. ANTÔNIO DE FREITAS MACHADO, S/N",CENTRO,57400000,
3327,Ativo,CARTÓRIO REGISTRO CIVIL JACUIPE,AL,JACUIPE,RUA DO COMERCIO S/Nº,CENTRO,57960000,
3335,Ativo,CARTÓRIO REGISTRO CIVIL,AL,BATALHA,"AV. MAIR GUEDES DO AMARAL, 116",CENTRO,57420000,
